Nr	Well	Drug	Conc	ConcMock	Category	Class	Target	Action
343	O7	Sulfamonomethoxine	56.1	1	Antibiotic	Antifolate	Folate synthesis	Static
344	O8	Sulfamonomethoxine	28	2	Antibiotic	Antifolate	Folate synthesis	Static
345	O9	Testosterone	144.2	1	Human metabolite	Human metabolite	Human metabolite	NA
346	O10	Testosterone	72.1	2	Human metabolite	Human metabolite	Human metabolite	NA
347	O11	Tetracycline	0.44	1	Antibiotic	Tetracycline	Protein-synthesis	Static
348	O12	Tetracycline	0.22	2	Antibiotic	Tetracycline	Protein-synthesis	Static
349	O13	Thiourea	38.1	1	Research compound	Research compound	Research compound	NA
350	O14	Thiourea	19	2	Research compound	Research compound	Research compound	NA
351	O15	Tobramycin	0.94	1	Antibiotic	Aminoglycoside	Protein-synthesis	Cidal
352	O16	Tobramycin	0.47	2	Antibiotic	Aminoglycoside	Protein-synthesis	Cidal
353	O17	Trimethoprim	0.58	1	Antibiotic	Antifolate	Folate synthesis	Static
354	O18	Trimethoprim	0.29	2	Antibiotic	Antifolate	Folate synthesis	Static
355	O19	Tunicamycin	21.1	1	Antibiotic	Aminoglycoside	Protein-synthesis	Cidal
356	O20	Tunicamycin	10.6	2	Antibiotic	Aminoglycoside	Protein-synthesis	Cidal
357	O21	Vanillin	152.1	1	Food	Food	Food	NA
358	O22	Vanillin	76.1	2	Food	Food	Food	NA
359	O23	Verapamil	227.3	1	Human drug	Human drug	Human drug	NA
360	O24	Verapamil	113.7	2	Human drug	Human drug	Human drug	NA
361	P1	Spectinomycin	1.2	3	Antibiotic	Protein-synthesis	Protein-synthesis	Static
362	P2	Spectinomycin	0.62	4	Antibiotic	Protein-synthesis	Protein-synthesis	Static
363	P3	Spiramycin	5.3	3	Antibiotic	Macrolide	Protein-synthesis	Static
364	P4	Spiramycin	2.6	4	Antibiotic	Macrolide	Protein-synthesis	Static
365	P5	Sulfamethoxazole	6.3	3	Antibiotic	Antifolate	Folate synthesis	Static
366	P6	Sulfamethoxazole	3.2	4	Antibiotic	Antifolate	Folate synthesis	Static
367	P7	Sulfamonomethoxine	14	3	Antibiotic	Antifolate	Folate synthesis	Static
368	P8	Sulfamonomethoxine	7	4	Antibiotic	Antifolate	Folate synthesis	Static
369	P9	Testosterone	36.1	3	Human metabolite	Human metabolite	Human metabolite	NA
370	P10	Testosterone	18	4	Human metabolite	Human metabolite	Human metabolite	NA
371	P11	Tetracycline	0.11	3	Antibiotic	Tetracycline	Protein-synthesis	Static
372	P12	Tetracycline	0.056	4	Antibiotic	Tetracycline	Protein-synthesis	Static
373	P13	Thiourea	9.5	3	Research compound	Research compound	Research compound	NA
374	P14	Thiourea	4.8	4	Research compound	Research compound	Research compound	NA
375	P15	Tobramycin	0.23	3	Antibiotic	Aminoglycoside	Protein-synthesis	Cidal
376	P16	Tobramycin	0.12	4	Antibiotic	Aminoglycoside	Protein-synthesis	Cidal
377	P17	Trimethoprim	0.15	3	Antibiotic	Antifolate	Folate synthesis	Static
378	P18	Trimethoprim	0.073	4	Antibiotic	Antifolate	Folate synthesis	Static
379	P19	Tunicamycin	5.3	3	Antibiotic	Aminoglycoside	Protein-synthesis	Cidal
380	P20	Tunicamycin	2.6	4	Antibiotic	Aminoglycoside	Protein-synthesis	Cidal
381	P21	Vanillin	38	3	Food	Food	Food	NA
382	P22	Vanillin	19	4	Food	Food	Food	NA
383	P23	Verapamil	56.8	3	Human drug	Human drug	Human drug	NA
384	P24	Verapamil	28.4	4	Human drug	Human drug	Human drug	NA
